Image_Path,image_name,Mean_Hue,Std_Saturation,Avg_Intensity,Contrast,Correlation,Energy,Homogeneity,well_no,hour,pH_value,type
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07812.JPG,IMG07812.JPG,31.75245139475909,100.86501013534316,131.48631807752687,98.90485619990572,0.9860500986332216,0.197538368084129,0.5329063702941085,A3,100,8,Enzy
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07813.JPG,IMG07813.JPG,31.714768747735786,100.7266343474639,132.784626252868,100.43040293040296,0.9861118625291628,0.1977245896547139,0.5383347303047666,A4,100,8,Enzy
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07811.JPG,IMG07811.JPG,31.405483148111795,101.66602914383704,129.78469252905208,100.17794751714236,0.985714713869967,0.1978583603345442,0.5310309596600393,A2,100,8,Enzy
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07810.JPG,IMG07810.JPG,32.30093007912436,101.29083801629,136.52917681233714,87.23025613977569,0.9877882739693038,0.1970899663654933,0.5151509505156195,A1,100,8,Enzy
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07814.JPG,IMG07814.JPG,31.02760338838324,101.40753767760548,161.38073827359352,97.01362991709124,0.9900371655664366,0.1976702434264523,0.5010432058906223,A5,100,8,Enzy
Cropped_Images/100 hr/pH8 Enzymatic/cropped_IMG07815.JPG,IMG07815.JPG,30.80851346455742,102.26336959478672,160.38685303707285,101.05024359578812,0.9898574544747618,0.1975488191876296,0.5034138137915013,A6,100,8,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07521.JPG,IMG07521.JPG,33.0944709150878,99.50815896525732,142.16560666966512,64.51055751759976,0.9913638599969088,0.1986591659429912,0.5045426258180055,A1,100,5,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07523.JPG,IMG07523.JPG,33.1643141869996,99.4567308210862,137.54259803419927,86.69880111716854,0.9878692044849636,0.1965062285225516,0.5201908425809497,A3,100,5,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07522.JPG,IMG07522.JPG,32.918931939757265,101.67194215970945,136.80554250264618,94.19011268629588,0.986928763489901,0.1988776784865905,0.5215026923338144,A2,100,5,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07526.JPG,IMG07526.JPG,33.23942629610776,99.52843697725162,142.22687392317332,86.51225144307568,0.9882734296518582,0.1968232156123862,0.5069754454684998,A6,100,5,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07525.JPG,IMG07525.JPG,33.41841608608745,99.43728370679972,141.06122401948417,91.65423844887296,0.9876468107834412,0.1974593042528212,0.5095626253640648,A5,100,5,Enzy
Cropped_Images/100 hr/pH5 Enzymatic/cropped_IMG07524.JPG,IMG07524.JPG,33.07334588527239,100.268102651645,140.38964873807325,92.11265935832998,0.9875127794095976,0.1968008993777654,0.5151380435988654,A4,100,5,Enzy
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07239.JPG,IMG07239.JPG,35.63025075377868,99.45651981732352,112.48662165204792,76.6644481521771,0.9857259137154591,0.1990431044685891,0.5786159931639403,A7,100,6,Hydro
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07244.JPG,IMG07244.JPG,35.50774396929825,99.3049854188763,109.46803583795014,69.79325784274079,0.9867878666698592,0.1980834838695263,0.5453040352249533,A12,100,6,Hydro
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07240.JPG,IMG07240.JPG,35.68229341793001,99.26349821462593,114.24163779366404,75.33377361482077,0.9857967226896474,0.1984389483386306,0.5525038365166403,A8,100,6,Hydro
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07241.JPG,IMG07241.JPG,35.63963168699433,99.54988204992064,109.32642676005314,76.91275523156713,0.9843817072239538,0.2005018415072515,0.5820342919727546,A9,100,6,Hydro
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07243.JPG,IMG07243.JPG,35.46564424586403,99.6400141526148,109.72444994565872,69.56493792236365,0.9866633995813732,0.1972999543232142,0.5493350749671605,A11,100,6,Hydro
Cropped_Images/100 hr/pH6 Hydrolytic/cropped_IMG07242.JPG,IMG07242.JPG,35.391854848448254,100.201574531839,113.38779495230044,75.96845706548676,0.9864292629464748,0.1994856264138023,0.5491765530729965,A10,100,6,Hydro
Cropped_Images/100 hr/pH7 Enzymatic/cropped_IMG07717.JPG,IMG07717.JPG,33.07403453689168,100.8074119914354,128.74504045405143,95.9058668504213,0.9854461506272112,0.1992530463388762,0.5449112168494985,A4,100,7,Enzy
Cropped_Images/100 hr/pH7 Enzymatic/cropped_IMG07716.JPG,IMG07716.JPG,32.883355874894335,100.77950095076174,128.38823692790726,94.6044645123853,0.9859655600597832,0.1979581547609109,0.5372076498204467,A3,100,7,Enzy
Cropped_Images/100 hr/pH7 Enzymatic/cropped_IMG07714.JPG,IMG07714.JPG,33.06887978871494,101.10395876059718,131.16290331038692,82.77147851194312,0.9877832733856636,0.1964084808074193,0.5422144981228021,A1,100,7,Enzy
